"age","gender","currentRegistration","aope","trainingPathway","yearsExperience","supervisor","workSetting","clientAge","trainingPathway_1","trainingPathway_2","trainingPathway_3","trainingPathway_4","trainingPathway_5","trainingPathway_6","trainingPathway_7","trainingPathway_8","trainingPathway_9","trainingPathway_10","trainingPathway_11","trainingPathway_12","trainingPathway_13","trainingPathway_14","trainingPathway_15","trainingPathway_16","trainingPathway_17","trainingPathway_18","trainingPathway_19","trainingPathway_20","trainingPathway_21","trainingPathway_22","trainingPathway_23","trainingPathway_24","trainingPathway_25","trainingPathway_26","trainingPathway_27","trainingPathway_28","trainingPathway_29","endorsements_1","endorsements_2","endorsements_3","endorsements_4","endorsements_5","endorsements_6","endorsements_7","endorsements_8","endorsements_9","endorsements_10","endorsements_11","endorsements_12","endorsements_13","betterAccess_1","betterAccess_2","betterAccess_3","betterAccess_4","betterAccess_5","betterAccess_6","betterAccess_7","betterAccess_8","betterAccess_9","betterAccess_10","betterAccess_11","betterAccess_12","betterAccess_13","betterAccess_14","betterAccess_15","betterAccess_16","betterAccess_17"
"45 - 54","Female","General","None","5+1","0-7","No","Non-profit,Private","4-11,12-18,18-25","1","2","5","2","2","1","2","1","4","2","2","2","2","4","4","5","4","1","1","5","4","4","4","1","1","1","5","5","5","1","1","2","1","1","1","1","4","2","1","1","5","4","5","1","1","1","3","1","3","3","1","1","1","3","4","4","5","4","3"
"35 - 44","Female","General","Clinical","MPsych","8-10","Yes","Government","25-65","5","1","1","1","4","4","5","5","5","5","5","5","5","4","5","4","4","4","5","1","1","5","5","5","5","5","1","5","5","1","5","5","5","1","1","1","5","1","5","1","5","3","5",NA,"1","1","5","1","5","5","1","5","5","5","5","5","5","5","5"
"45 - 54","Female","General","Health","MPsych","8-10","Yes","Private","4-11,12-18,18-25,25-65,65+","3","2","4","4","4","2","2","2","4","4","4","4","4","2","4","3","4","2","2","4","3","4","3","4","4","3","2","2","3","1","1","5","5","1","1","3","1","4","5","2","5","1","5","2","1","1","5","1","5","5","1","2","4","5","5","5","1","5","5"
"35 - 44","Female","General","None","4+2","10-15","No","Government","12-18,18-25,25-65,65+","3","2","4","4","4","2","4","4","4","3","4","4","4","2","2","4","4","4","4","4","4","3","3","4","3","4","4","4","3","3","3","4","5","3","3","3","2","4","3","4","4","3","4","2","2","3","2","2","3","3","2","2","2","4","4","4","4","5","4"
"25 - 34","Female","General","None","4+2","10-15","No","Government","12-18,18-25,25-65","2","3","2","4","5","4","4","4","4","3","4","3","3","4","2","4","3","5","4","4","3","4","3","4","4","4","5","5","5","1","3","2","5","5","2","1","5","1","5","1","5","5","5","1","1","1","5","1","3","3","1","5","4","5","5","5","5","5","5"
"35 - 44","Male","General","None","4+2","0-7","Yes","Private","4-11,12-18,18-25,25-65","4","2","3","5","5","5","5","5","5","4","5","5","5","5","4","3","4","4","4","5","5","5","5","2","2","4","2","4","4","4","4","2","5","1","1","1","2","3","3","1","5","3","5","5","1","1","5","1","3","4","1","5","4","5","5","5","5","5","4"
"35 - 44","Male","General","Counselling","MPsych","10-15","No","Private","4-11,12-18,18-25,25-65,65+","5","5","1","3","5","5","5","5","5","4","5","5","5","4","3","3","3","4","5","1","1","3","4","5","3","4","3","5","2","1","1","5","5","1","1","1","5","1","5","1","5","1","5","1","1","1","3","1","5","5","1","5","5","5","5","5","5","5","5"
"55 - 64","Female","General","None","4+2","20+","Yes","Education (K-12)","4-11,12-18,18-25","2","1","2","2","5","1","1","2","4","1","2","4","4","1","2","2","2","4","3","2","2","5","4","2","2","2","4","5","4","1","3","5","5","1","4","1","5","1","4","1","5","4","4","1","1","1","5","1","1","1","1","1","2","1","5","5","5","5","5"
"35 - 44","Female","General","Forensic","MPsych","15-20","Yes","Private","0-3,4-11,12-18,18-25,25-65,65+","2","4","5","2","3","2","4","4","3","4","3","4","3","1","1","3","3","4","4","1","1","1","1","3","3","2","2","4","2","2","3","4","5","3","4","5","1","4","1","5","5","4","4","1","1","3","4","2","1","1","1","1","2","4","5","5","5","5","3"
"35 - 44","Female","General","None","4+2","10-15","No","Government","0-3,4-11,12-18,18-25","4","3","5","4","5","5",NA,"5","5","2","4","4","4","5","2","4","2","5","5","5","4","4","1","4","5","5","5","5","5","1","2","4","5","2","3","3","5","1","5","3","5","4","5","1","1","1","3","1","1","1","1","1","5","5","5","5","5","5","5"
"55 - 64","Female","General","None","4+2","20+","No","Private","25-65","5","5","1","1","2","2","2","2","4","1","1","5","5","4","5","4","2","4","2","5","5","2","1","2","2","4","2","1","1","2","5","2","5","1","1","1","2","2","5","3","5","2","5","1","1","1","2","1","1","1","1","4","4","1","5","5","5","5","5"
"45 - 54","Female","General","None","4+2","15-20","No","Private,Education (K-12)","12-18,18-25,25-65,65+","4","2","3","3","5","4","5","4","5","2","3","4","3","5","3","4","2","5","4","5","3","4","3","4","3","4","3","4","3","1","2","4","5","1","1","1","3","3","3","3","5","3","5","1","2","1","4","1","1","1","2","5","4","5","4","4","4","5","4"
"45 - 54","Female","General","None","4+2","8-10","No","Private","12-18,18-25,25-65,65+","4","1","4","4","5","5","5","5","5","2","5","4","5","5","2","5","5","4","5","5","5","4","4","2","3","5","2","4","4","1","5","3","5","1","1","4","2","3","3","4","5","3","5","1","1","1","3","1","1","1","1","2","1","3","1","1","5","5","4"
"65 - 74","Female","General","None","4+2","15-20","No","Private","18-25,25-65,65+","3","3","3","1","4","5","5","5","5","3","5","4","5","5","3","4","2","5","4","5","5","2","3","2","1","3","4","5","3","1","1","5","5","3","3","3","5","1","5","1","3","1","4","1","1","1","4","1","3","1","3","1","1","4","5","5","5","5","5"
"55 - 64","Male","General","None","4+2","8-10","No","Private","12-18,18-25,25-65,65+","4","1","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","1","1","5","5","5","3","3","5","3","3","3","3","2","2","3","5","1","5","1","5","1","5","1","1","1","3","1","1","1","1","5","1","3","3","3","3","3","3"
"35 - 44","Male","General","None","4+2","8-10","Yes","Government","0-3,4-11,12-18","5","1","5","4","5","5","5","5","5","5","5","5","5","5","2","5","5","3","5","5","3","3","3","3","3","5","2","4","4","4","4","5","5","5","5","2","4","1","5","1","5","1","5","5","1","1","4","1","1","1","1","1","1","1","5","5","5","5","5"
"35 - 44","Female","General","None","4+2","0-7","No","Private","0-3,4-11,12-18,18-25,25-65","4","1","1","4","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","4","5","4","1","1","4","3","4","5","1","1","2","5","1","1","1","1","5","2","5","5","5","5","1","1","1","5","1","4","4","1","4","4","4","5","5","5","5","5"
"35 - 44","Female","General","None","4+2","15-20","No","Private,Education (K-12)","12-18,18-25,25-65","1","4","5","4","5","4","4","4","5","4","4","4","4","4","3","5","4","5","4","4","2","2","1","1","1","3","5","5","5","1","1","4","5","1","1","4","3","5","2","4","5","5","5","1","1","1","5","5","3","1","1","5","4","5","5","5","5","5","5"
"25 - 34","Male","General","Clinical","MPsych","0-7","No","Non-profit","12-18,18-25","5","5","2","2","2","4","4","4","4","2","3","4","4","4","3","2","2","4","2","2","1","2","2","4","4","2","4","4","4","2","4","4","4","4","4","2","4","2","4","4","4","2","4","4","4","4","4","4","4","4","2","5","5","4","5","5","4","4","4"
"25 - 34","Female","General","None","MPsych","0-7","No","Private","4-11,12-18,18-25,25-65","2","4","4","5","1","1","4","2","2","2","3","4","4","2","4","3","4","4","2","3","2","3","2","4","3","3","2","4","3","2","2","4","5","1","1","4","3","3","4","1","5","1","1","1","1","4","4","2","2","2","1","5","1","5","5","5","5","5","4"
"35 - 44","Female","General","None","5+1","0-7","No","Non-profit","0-3,4-11,12-18,18-25,25-65,65+","1","1","5","5","1","1","1","2","5","3","3","4","4","1","2","4","4","4","1","4","5","4","4","3","1","1","5","5","3","1","1","5","5","1","1","1","1","5","5","3","5","2","4","4","1","1","1","3","5","3","1","1","1","5","5","5","5","5","5"
"35 - 44","Female","General","None","4+2","10-15","Yes","Government","18-25,25-65,65+","2","2","5","4","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","4","4","2","2","5","4","5","5","1","1","4","5","1","1","2","1","4","4","2","5","1","4","5","1","1","4","2","2","4","2","2","1","5","5","5","5","5","5"
"25 - 34","Female","General","None","4+2","8-10","Yes","Private","12-18,18-25,25-65","5","5","5","5","5","4","4","5","5","4","5","4","5","4","4","4","3","4","5","5","5","5","5","5","5","5","1","2","5","3","3","2","5","1","4","3","2","3","5","2","5","4","1","1","3","4","2","2","1","1","2","3","3","3","3","5","5","5","4"
"35 - 44","Female","General","None","4+2","8-10","No","Non-profit,Private","0-3,4-11,12-18,18-25","5","2","4","3","4","5","5","4","4","2","4","4","4","3","2","2","1","5","5","5","5","4","3","2","2","3","4","5","5","2","2","5","5","3","3","3","2","5","3","4","3","4","3","2","1","1","2","2","1","1","1","4","3","1","5","5","5","3","5"
"45 - 54","Female","General","None","4+2","10-15","No","Private","4-11,12-18,18-25,25-65,65+","4","3","2","1","5","5","5","5","5","4","4","5","5","5","4","4","5","5","5","5","3","4","3","4","3","4","4","4","5","1","3","3","5","1","1","2","3","1","5","1","5","1","5","1","1","1","5","1","1","1","1","5","5","5","5","5","5","5","4"
"35 - 44","Female","General","None","5+1","0-7","No","Private","12-18,18-25,25-65,65+","2","1","4","3","3","4","5","5","5","2","5","5","5","5","4","5","2","5","5","5","3","5","5","5","5","5","4","5","5","1","5","5","5","1","1","1","3","3","5","2","5","1","1","4","1","1","4","2","1","1","1","1","1","3","5","5","5","5","5"
"45 - 54","Female","General","Ed&Dev","4+2","20+","No","Education (K-12)","0-3,4-11,12-18","5","5","4","2","4","4","4","4","5","2","4","5","5","4","2","5","4","4","5","5","5","3","3","3","3","5","3","3","5","3","4","3","3","1","1","3","3","3","3","3","3","3","2","4","1","1","3","3","1","1","3","3","1","3","5","5","5","5","3"
"35 - 44","Female","General","None","5+1","0-7","No","Non-profit","18-25,25-65","2","1","4","5","4","4","4","4","4","2","2","4","4","4","4","2","2","2","4","2","1","4","2","4","5","3","2","5","2","1","3","4","5","5","2","3","5","3","2","2","1","1","4","5","1","1","2","1","4","4","1","3","4","4","5","5","1","5","5"
"45 - 54","Female","General","None","4+2","15-20","Yes","Private","4-11,12-18,18-25,25-65,65+","2","1","5","2","5","5","5","5","5","5","5","4","4","5","4","4","4","5","5","4","3","4","3","4","3","5","4","5","5","1","2","4","5","1","1","2","5","1","4","1","5","1","4","1","1","1","4","1","3","3","1","1","1","5","5","5","5","5","4"
"55 - 64","Female","General","Counselling","4+2","15-20","Yes","Private","18-25,25-65,65+","2","2","4","2","4","5","4","5","4","3","5","5","5","5","3","3","3","5","4","5","3","3","3","3","3","4","2","4","4","4","2","4","5","1","2","3","2","4","3","3","5","4","5","3","1","2","4","2","1","1","2","5","4","5","5","5","4","5","5"
"45 - 54","Female","General",NA,"MPsych","15-20","No","Private","25-65","3","4","2","2","4","2","3","2","4","2","4","4","4","3","3","3","3","4","3","3","3","3","3","4","4","3","4","5","4","2","2","3","5","4","3","2","4","2","4","3","3","4","2","2","4","1","2","3","1","1","3","1","1","4","3","3","3","4","4"
"25 - 34","Female","Provisional","None","MPsych","Provisional","No","Education (Tertiary)","0-3,4-11,12-18","2","4","2","4","4","5","5","4","5","3","4","5","5","3","4","4","3","5","4","3","1","4","1","5","5","3","1","2","5","4","2","3","5","1","1","3","1","1","5","5","3","3","1","5","1","5","1","3","3","3","1","3","3","5","5","5","5","5","5"
"35 - 44","Female","General","Ed&Dev","MPsych/PhD","8-10","Yes","Government,Education (K-12)","4-11,12-18,18-25,25-65","5","1","5","5","5","5","2","4","4","4","4","5","5","5","5","1","1","4","4","2","2","2","2","5","5","4","5","5","5","1","2","5","5","1","1","5","1","5","2","4","5","5","1","1","1","1","5","1","1","1","1","5","5","5","5","5","5","5","5"
"45 - 54","Female","General","None","5+1","10-15","No","Private","12-18,18-25,25-65","2","1","5","5","4","2","5","4","5","2","4","4","4","5","2","4","4",NA,"4","5","5","3","3","2","2","2","2","5","4","1","1","5","5","5","1","2","1","3",NA,"1","5","5","5","1","1","1","5","1","5","5","1","5","1","5","5","5","5","5","5"
"35 - 44","Female","General","None","MPsych","0-7","No","Private","18-25,25-65,65+","2","1","4","4","4","4","4","4","5","3","5","5","5","4","5","5","4","5","4","4","2","4","2","4","2","4","5","5","5","2","2","4","4","1","1","1","1","2","2","5","4","3","4","1","1","1","1","1","2","2","1","4","4","5","5","5","5","5","5"
"35 - 44","Male","General","None","4+2","0-7","No","Government","18-25,25-65,65+","5","3","4","4","4","4","4","4","5","4","5","3","4","5","4","4","3","4","5","5","4","4","4","3","3","4","3","4","4","3","3","2","4","1","1","3","3","3","4","2","4","3","4","2","1","1","4","1","1","1","3","2","1","4","4","5","4","3","4"
"35 - 44","Female","General","Ed&Dev","MPsych","15-20","Yes","Education (K-12)","4-11,12-18","5","5","1","1","5","5","4","4","4","2","4","5","4","4","4","4","4","4","5","3","2","3","2","5","4","4","2","2","2","4","4","3","2","1","5","4","2","2","2","4","4","4","2","1","3","4","4","4","1","1","3","1","1","4","2","2","2","4","4"
"45 - 54","Female","General","Ed&Dev","MPsych","10-15","Yes","Private","4-11,12-18,18-25,25-65,65+","4","4","2","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","2","2","2","5","5","4","4","4","2","4","5","4","5","1","4","5","4","2","2","4","5","4","5","1","1","4","4","3","1","1","1","4","4","4","5","5","5","5","3"
"35 - 44","Female","General","None","MPsych","10-15","Yes","Government","12-18","5","5","2","5","5","5","5","5","5","4","4","5","5","4","4","5","4","4","4","2","2","4","2","5","5","4","2","4","2",NA,"4","2","5","1","4","1","2","3","5","2","5","4","4","1","1","1","4","1","3","3","1","3","3","5","5","5","5","5","5"
"25 - 34","Male","General","Ed&Dev","MPsych","0-7","No","Education (Tertiary)","12-18,18-25,25-65","2","2","5","5","2","2","4","3","5","2","3","4","4","2","3","3","2","4","2","3","3","3","3","4","4","4","4","4","2","4","4","5","5","1","1","1","3","4","1","5","5","5","4","5","1","4","1","2","5","5","1","5","1","5","5","5","5","5","5"
"35 - 44","Male","General","Counselling","MPsych","15-20","Yes","Education (Tertiary)","12-18,18-25,25-65,65+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 - 44","Male","General","None","MPsych","0-7","No","Private","18-25,25-65","4","5","2","1","5","2","5","4","4","1","4","4","4","4","4","2","2","4","2","5","3","5","3","5","3","3","1","3","4","1","4","3","5","1","1","3","3","3","4","1","5","2","4","1","1","1","4","1","1","1","1","5","3","5","4","4","5","5","5"
"45 - 54","Female","General","None","4+2","15-20","No","Education (K-12)","4-11,12-18,18-25","5","5","4","1","5","5","5","5","5","4","4","5","5","4","3","4","5","5","5","5","4","3","3","4","1","5","2","2","5","4","4","5","5","1","1","1","3","3","5","1","5","2","5","3","1","1","5","1","1","1","1","2","2","3","5","5","5","2","4"
"25 - 34","Female","General","None","5+1","8-10","Yes","Non-profit","4-11,12-18,18-25","4","2","5","5","4","4","4","4","4","4","4","4","4","4","2","2","2","4","4","2","1","5","5","3","1","5","5","5","3","1","4","5","5","1","1","3","3","2","3","4","4","4","4","1","1","1","4","1","2","3","1","3","2","5","5","5","5","5","5"
"45 - 54","Female","General","None","4+2","20+","No","Private","18-25,25-65,65+","4","5","3","2","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","2","2","4","1","5","5","5","5","1","1","4","4","1","1","1","3","3","5","2","5","3","4","1","3","3","5","4","1","1","3","3","3","3","3","5","5","3","3"
"25 - 34","Female","Provisional","None","Ongoing","Provisional","No","Education (Tertiary)","4-11,12-18,25-65","4","4","4","2","2","2","4","4","4","2","4","2","4","3","4","3","2","3","3","4","2","5","4","4","4","4","3","5","5","3","2","4","5","4","4","2","1","3","5","2","5","1","4","4","1","1","4","1","5","5","1","3","4","5","5","5","5","5","5"
"35 - 44","Female","General","None","MPsych","0-7","No","Private","18-25,25-65","2","2","4","4","1","2","1","2","5","2","4","3","3","4","5","1","1","4","2","2","1","4","3","4","5","2","3","4","3","1","4","3","5","3","4","3","3","3","2","2","5","4","4","1","1","2","4","1","1","1","2","5","3","3","4","5","4","5","3"
"35 - 44","Female","General","None","4+2","15-20","No","Private","4-11,12-18,18-25,25-65,65+","4","4","2","5","5","4","5","4","5","3","3","4","4","4","5","4","4","5","4","5","4","4","4","4","3","4","1","4","5","1","5","1","5","1","1","3","3","3","5","3","5","1","5","1","1","1","5","1","1","1","1","3","1","5","5","5","5","5","3"
"45 - 54","Female","General","None","4+2","20+","No","Government","12-18,18-25,25-65,65+","4","2","2","1","5","5","4","5","5","5","5","5","5","5","4","5","4","5","4","5","4","2","2","5","2","4","4","4","5","1","4","3","5","1","1","3","1","3","4","5","5","4","5","1","1","1","2","1","1","1","1","1","2","3","5","5","5","5","5"
"25 - 34","Female","Provisional","None","MPsych/PhD","Provisional","No",NA,"4-11,12-18,18-25,25-65,65+","4","5","1","2","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","2","2","4","4","5","5","5","4","4","3","5","5","3","3","1","1","5","2","3","1","5","3","5","4","5","4","5","4","3","3","3","4","3","4","4","4","4","4","5","4"
"35 - 44","Female","General","None","MPsych","0-7","Yes","Private","4-11,12-18,18-25,25-65,65+","3","2","4","4","4","4","4","4","4","3","3","5","5","4","5","4","5","4","4","4","3","4","3","3","2","5","3","2","4","1","4","3","4","1","1","3","5","1","5","1","5","3","5","2","1","1","5","1","2","2","1","3","3","4","5","5","5","5","5"
"45 - 54","Female","General","None","4+2","15-20","No","Non-profit","4-11,12-18,18-25,25-65","5","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","4","5","4","5","4","5","5","5","5","1","1","5","5","2","4","3","5","1","5","1","5","2","5","1","1","1","5","1","3","3","1","1","5","5","5","5","5","5","5"
"45 - 54","Female","General","None","4+2","15-20","Yes","Private","4-11,12-18,18-25,25-65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55 - 64","Female","General","None","5+1","20+","No","Private","18-25,25-65,65+","5","4","1","1","5","5","5","5","5","4","5","5","5","5","4","4","5","5","5","4","4","5","5","2","2","4","4","4","2","1","1","4","5","1","3","1","3","3","5","1","5","4","5","1","1","1","4","5","1","1","2","4","4","1","4","4","5","5","4"
"35 - 44","Female","General","None","MPsych","10-15","No","Private","12-18,18-25,25-65","4","4","4","1","5","5","5","5","5","5","5","4","4","5","4","5","3","3","5","3","1","1","1","5","5","3","3","4","1","1","1","1","5","1","1","1","3","3","5","2","5","1","5","1","1","1","4","1","2","1","1","4","5","5","5","5","5","5","5"
"25 - 34","Female","General","None","5+1","0-7","No","Non-profit,Private","4-11,18-25,25-65","2","2","4","4","3","2","3","4","5","4","4","4","4","3","3","4","4","4","3","2","2","4","4","4","4","5","4","3","4","2","4","4","5","1","1","3","3","3","4","2","5","3","4","2","2","3","3","1","2","2","3","4","3","4","4","5","5","5","4"
"45 - 54","Female","General","None","4+2","20+","No","Private","12-18,18-25,25-65,65+","5","1","3","5","4","5","5","4","3","2","2","4","5","4","2","2","2","4","5","5","5","4","4","2","1","4","3","4","4","2","1","5","5","3","3","1","3","3","4","4","5","3","5","5","1","1","4","1","3","3","1","5","4","5","5","5","5","5","4"
"55 - 64","Female","General","None","4+2","0-7","No","Private","12-18,18-25,25-65,65+","3","1","3","1","5","5","5","5","5","4","4","5","5","5","4","4","2","5","5","5","5","4","2","2","1","5","3","5","5","1","2","5","5","3","4","2","3","4","4","2","5","2","4","4","1","1","5","1","3","1","2","5","3","5","3","4","4","5","1"
"45 - 54","Female","General","None","4+2","20+","No","Private","25-65","5","4","1","1","5","5","4","4","5","5","5","5","5","4","3","5","2","5","5","5","5","5","5","4","4","5","4","5","5","4","3","4","5","4","1","3","4","2","3","1","5","2","4","1","1","1","2","1","1","1","2","2","4","5","5","5","4","5","5"
"45 - 54","Female","General","Ed&Dev","MPsych","8-10","Yes","Private","4-11,12-18,18-25,25-65,65+","4","2","1","1","5","5","5","5","5","2","5","5","5","5","3","5","5","5","4","5","3","2","2","4","5","4","4","4","5","2","2","5","5","1","3","2","3","3","4","5","5","1","5","5","1","1","4","1","1","1","2","5","4","5","5","5","5","5","2"
"35 - 44","Female","General","None","MPsych","0-7","No","Non-profit","0-3,4-11,12-18,18-25,25-65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 - 44","Female","General","None","4+2","20+","No","Private","0-3,4-11,12-18,18-25,25-65,65+","5","2","4","4","5","2","2","2","4","2","4","2","2","4","1","4","4","4","4","5","5","2","2","1","1","2","2","4","5","1","1","5","5","2","1","1","5","1","3","1","5","1","5","5","1","1","4","1","3","3","1","5","4","3","4","5","5","4","5"
"35 - 44","Female","General","None","MPsych","8-10","Yes","Government","0-3,4-11,12-18","1","1","4","4","5","5","5","4","5","5","5","5","5","4","5","4","2","4","4","1","1","2","1","5","5","5","5","5","2","1","4","4","5","1","4","1","4","3","4","2","5","2","5","3","1","1","4","1","3","3","1","2","4","5","5","5","5","5","5"
"55 - 64","Female","General",NA,"4+2","15-20","No","Private","12-18,18-25,25-65,65+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25 - 34","Female","General","Ed&Dev","MPsych","0-7","No","Private","4-11,12-18,18-25,25-65","2","2","3","4","4","4","4","4","4","2","2","5","5","4","4","4","4","3","4","2","2","2","2","5","5","4","3","2","2","4","2","5","5","1","2","4","2","2","1","4","5","2","4","4","1","5","5","4","2","2","2","2","2","4","5","5","5","5","5"
"45 - 54","Female","General","Ed&Dev","DPsych","0-7","Yes","Private","0-3,4-11,12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55 - 64","Female","General","S&E","MPsych","0-7","No","Private","12-18,18-25,25-65,65+","4","4","1","2","1","4","1","1","4","1","2","1","2","1","4","4","3","3","1","4","3","4","3","4","3","1","2","2","4","2","1","4","5","1","1","2","2","2","2","4","5","4","4","2","1","5","4","1","3","3","1","4","2","4","4","4","5","4","2"
"25 - 34","Female","General","None","MPsych","0-7","No","Private","12-18,18-25,25-65,65+","5","5","1","1","2","4","4","4","4","2","2","4","4","2","5","4","4","5","3","2","2","2","2","2","2","2","5","5","4","2","4","5","5","1","1","2","2","4","2","5","4","2","2","2","2","5","2","2","1","1","1","4","4","4","5","5","5","5","5"
"45 - 54","Female","General","Organisational","4+2","20+","Yes","Government,Private","25-65","3","1","5","4","5","5","5","5","4","2","4","5","5","4","1","4","1","5","2","2","3","5","5","5","2","3","3","4","4","4","4","5","5","5","5","2","4","2","2","5","5","3","4","4","1","4","2","1","1","1","1","1","1","1","4","5","4","3","3"
"45 - 54","Male","General","S&E","MPsych","15-20","No","Non-profit,Private","12-18,18-25,25-65","5","5","2","4","5","4","2","4","5","4","4","4","5","4","4","5","4","5","5","4","2","4","2","5","5","4","4","4","5","4","2","5","5","1","1","5","2","3","1","5","4","5","2","1","1","5","4","2","2","1","1","5","2","5","5","5",NA,"5","5"
"45 - 54","Female","General","None","4+2","10-15","No","Private","4-11,12-18,18-25,25-65,65+","4","1","2","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","3","1","4","1","1","5","1","4","5","5","1","1","1","1","5","5","5","5","1","5","1","1","1","5","1","1","1","1","1","1","1","5","5","5","5","1"
"55 - 64","Female","General","None","4+2","20+","No","Education (Tertiary)","4-11,12-18,18-25,25-65","5","1","1","4","3","5","5","5","5","1","3","5","5","5","5","2","4","4","5","5","5","4","1","3","1","3","4","3","1","1","1","5","5","1","1","1","5","1","5","1","1","1","5","1","1","1","1","1","1","1","1","5","1","5","5","5","5","5","1"
"55 - 64","Female","Non-Practicing","None","Ongoing","Provisional","No","Government","12-18,18-25,25-65,65+","4","2","5","3","2","1","5","4","5","5",NA,"2","2","2","4","3","3","3","3","2","1","4","4","4","2","4","4","4","4","3","2","4","4","3","4","3","3","3","2","4","5","2","2","2","3","3","2","3","3","3","3","1","3","3","4","5","4","5","5"
"25 - 34","Male","General","None","4+2","10-15","No","Private","12-18,18-25,25-65,65+","4","2","4","2","4","4","4","4","4","3","4","3","3","4","3","4","3","4","5","4","4","3","3","3","3","5","4","4","5","3","2","3","5","5","1","3","1","5","3","3","5","3","1","1","1","1","1","1","3","4","1","4","5","5","5","5","5","5","5"
"45 - 54","Female","General","None","4+2","8-10","No","Private","18-25,25-65,65+","5","3","1","1","1","1","1","1","1","1","1","1","4","1","4","2","1","4","1","1","1","3","3","3","3","1","5","5","5","1","1","5","5","5","3","3","3","3","2","5","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 - 44","Female","General","None","4+2","10-15","Yes","Private","18-25,25-65,65+","2","3","4","4","4","5","5","4","5","4","3","4","4","4","2","4","4","4","4","4","3","3","3","3","3","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 - 44","Female","General","Clinical,Health","4+2","15-20","Yes","Private","12-18,18-25,25-65,65+","3","2","5","1","5","5","1","4","5","5","4","5","5","2","5","3","2","5","3","3","3","3","3","5","5","2","1","4","3","5","5","4","5","1","1","2","1","3","1","5","4","5","5","1","5","5","5","5","1","1","1","5","5","1","1","4","4","5","5"
"25 - 34","Female","Provisional","None","5+1","Provisional","No","Government","18-25,25-65,65+","1","4","4","4","2","2","5","4","5","4","4","4","4","2","2","4","2","5","2","2","2","3","2","4","4","4","4","5","5","1","2","4","5","3","4","3","3","3","2","3","4","3","2","1","3","3","1","1","3","3","3","1","3","4","5","5","5","5","3"
"25 - 34","Male","General","None","5+1","0-7","No","Education (K-12)","4-11,12-18,18-25","4","3","5","5","4","3","4","4","4","4","4","4","4","2","2","4","2","3","2","2","1","4","3","5","4","2","4","4","5","3","4","2","5","1","3","3","4","2","1","4","5","4","4","1","1","3","1","2","1","1","2","2","2","3","4","4","1","5","4"
"25 - 34","Female","General","None","MPsych","0-7","No","Private","12-18,18-25,25-65","5","5","2","1","3","4","4","2","4","4","4","5","5","2","2","4","1","5","5","3","1","3","1","5","5","4","2","3","4","2","2","3","5","3","3","2","3","3","4","4","4","3","5","1","4","3","2","5","1",NA,"2","5","4","1","3","3","3","4","4"
